2025-07-20 16:54:13,DROWSINESS
2025-07-20 16:54:13,DROWSINESS
2025-07-20 16:54:28,DROWSINESS
2025-07-20 16:54:28,DROWSINESS
2025-07-20 16:54:28,DROWSINESS
2025-07-20 16:54:28,DROWSINESS
2025-07-20 16:54:37,DROWSINESS
2025-07-20 16:54:37,DROWSINESS
2025-07-20 16:54:37,DROWSINESS
2025-07-20 16:54:37,DROWSINESS
2025-07-20 16:54:53,DROWSINESS
2025-07-20 16:54:53,DROWSINESS
2025-07-20 16:54:53,DROWSINESS
2025-07-20 16:54:53,DROWSINESS
2025-07-20 16:54:58,DROWSINESS
2025-07-20 16:54:58,DROWSINESS
2025-07-20 16:54:58,DROWSINESS
2025-07-20 16:54:58,DROWSINESS
2025-07-20 16:55:08,DROWSINESS
2025-07-20 16:55:08,DROWSINESS
2025-07-20 16:55:08,DROWSINESS
2025-07-20 16:55:14,DROWSINESS
2025-07-20 16:55:14,DROWSINESS
2025-07-20 16:55:14,DROWSINESS
2025-07-20 16:55:14,DROWSINESS
2025-07-20 17:00:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170008.jpg
2025-07-20 17:00:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170008.jpg
2025-07-20 17:00:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170008.jpg
2025-07-20 17:00:14,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170014.jpg
2025-07-20 17:00:14,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170014.jpg
2025-07-20 17:00:14,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170014.jpg
2025-07-20 17:00:14,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170014.jpg
2025-07-20 17:00:14,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170014.jpg
2025-07-20 17:00:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170019.jpg
2025-07-20 17:00:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170019.jpg
2025-07-20 17:00:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170019.jpg
2025-07-20 17:00:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170019.jpg
2025-07-20 17:00:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170019.jpg
2025-07-20 17:00:25,DROWSINESS,DROWSINESS_20250720_170025.jpg
2025-07-20 17:00:25,DROWSINESS,DROWSINESS_20250720_170025.jpg
2025-07-20 17:00:25,DROWSINESS,DROWSINESS_20250720_170025.jpg
2025-07-20 17:00:25,DROWSINESS,DROWSINESS_20250720_170025.jpg
2025-07-20 17:00:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170030.jpg
2025-07-20 17:00:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170030.jpg
2025-07-20 17:00:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170030.jpg
2025-07-20 17:00:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170030.jpg
2025-07-20 17:00:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170036.jpg
2025-07-20 17:00:36,DROWSINESS,DROWSINESS_20250720_170036.jpg
2025-07-20 17:00:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170036.jpg
2025-07-20 17:00:36,DROWSINESS,DROWSINESS_20250720_170036.jpg
2025-07-20 17:00:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170036.jpg
2025-07-20 17:00:36,DROWSINESS,DROWSINESS_20250720_170036.jpg
2025-07-20 17:00:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170036.jpg
2025-07-20 17:00:36,DROWSINESS,DROWSINESS_20250720_170036.jpg
2025-07-20 17:00:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_170036.jpg
2025-07-20 17:00:36,DROWSINESS,DROWSINESS_20250720_170036.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:50,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193650.jpg
2025-07-20 19:36:55,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193655.jpg
2025-07-20 19:36:55,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193655.jpg
2025-07-20 19:36:56,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193655.jpg
2025-07-20 19:36:56,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193656.jpg
2025-07-20 19:37:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193702.jpg
2025-07-20 19:37:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193708.jpg
2025-07-20 19:37:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193708.jpg
2025-07-20 19:37:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193708.jpg
2025-07-20 19:37:08,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193708.jpg
2025-07-20 19:37:13,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193713.jpg
2025-07-20 19:37:13,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193713.jpg
2025-07-20 19:37:13,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193713.jpg
2025-07-20 19:37:13,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193713.jpg
2025-07-20 19:37:19,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193719.jpg
2025-07-20 19:37:20,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193720.jpg
2025-07-20 19:37:20,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193720.jpg
2025-07-20 19:37:20,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193720.jpg
2025-07-20 19:37:20,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193720.jpg
2025-07-20 19:37:25,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193725.jpg
2025-07-20 19:37:25,DROWSINESS,DROWSINESS_20250720_193725.jpg
2025-07-20 19:37:25,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193725.jpg
2025-07-20 19:37:25,DROWSINESS,DROWSINESS_20250720_193725.jpg
2025-07-20 19:37:25,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193725.jpg
2025-07-20 19:37:25,DROWSINESS,DROWSINESS_20250720_193725.jpg
2025-07-20 19:37:25,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193725.jpg
2025-07-20 19:37:25,DROWSINESS,DROWSINESS_20250720_193725.jpg
2025-07-20 19:37:25,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193725.jpg
2025-07-20 19:37:25,DROWSINESS,DROWSINESS_20250720_193725.jpg
2025-07-20 19:37:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193730.jpg
2025-07-20 19:37:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193730.jpg
2025-07-20 19:37:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193730.jpg
2025-07-20 19:37:30,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193730.jpg
2025-07-20 19:37:35,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193735.jpg
2025-07-20 19:37:35,DROWSINESS,DROWSINESS_20250720_193735.jpg
2025-07-20 19:37:35,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193735.jpg
2025-07-20 19:37:35,DROWSINESS,DROWSINESS_20250720_193735.jpg
2025-07-20 19:37:35,DROWSINESS,DROWSINESS_20250720_193735.jpg
2025-07-20 19:37:36,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193735.jpg
2025-07-20 19:37:36,DROWSINESS,DROWSINESS_20250720_193735.jpg
2025-07-20 19:37:41,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193741.jpg
2025-07-20 19:37:41,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193741.jpg
2025-07-20 19:37:41,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193741.jpg
2025-07-20 19:37:46,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193746.jpg
2025-07-20 19:37:46,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193746.jpg
2025-07-20 19:37:51,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193751.jpg
2025-07-20 19:37:52,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193752.jpg
2025-07-20 19:37:52,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193752.jpg
2025-07-20 19:37:52,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193752.jpg
2025-07-20 19:37:57,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193757.jpg
2025-07-20 19:37:57,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193757.jpg
2025-07-20 19:37:57,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193757.jpg
2025-07-20 19:38:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193802.jpg
2025-07-20 19:38:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193802.jpg
2025-07-20 19:38:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193802.jpg
2025-07-20 19:38:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193802.jpg
2025-07-20 19:38:02,HEAD_POSE_ABNORMAL,HEAD_POSE_ABNORMAL_20250720_193802.jpg
